0, [-0.09651315957307816, -0.05055069178342819, 0.6520000100135803]
1, [0.053977519273757935, 0.10821714252233505, 0.656000018119812]
2, [-0.10696685314178467, 0.14022183418273926, 0.7847500443458557]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.19871068000793457, 0.08035987615585327, 0.5950000286102295]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.09848414361476898, -0.09279383718967438, 0.6642500162124634]
15, [-0.06815635412931442, -0.09498269855976105, 0.6497500538825989]
16, [NaN, NaN, NaN]
17, [0.04232821241021156, -0.08944718539714813, 0.6685000061988831]
0, [-0.09604459255933762, -0.05461200699210167, 0.6487500071525574]
1, [0.050396427512168884, 0.10832928121089935, 0.6567500233650208]
2, [-0.1093522235751152, 0.1433487832546234, 0.8022500276565552]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.19873011112213135, 0.08435335010290146, 0.5950000286102295]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.09283889085054398, -0.09158595651388168, 0.655750036239624]
15, [-0.06397458910942078, -0.09518564492464066, 0.6512500047683716]
16, [NaN, NaN, NaN]
17, [0.04250233992934227, -0.08981514722108841, 0.67125004529953]
0, [-0.09696988016366959, -0.055138133466243744, 0.6550000309944153]
1, [0.05405980348587036, 0.10838210582733154, 0.6570000052452087]
2, [-0.10802323371171951, 0.1416066288948059, 0.7925000190734863]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.19716393947601318, 0.08108629286289215, 0.6005000472068787]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.09397150576114655, -0.09270329028367996, 0.6637500524520874]
15, [-0.06466222554445267, -0.09620875865221024, 0.6582500338554382]
16, [NaN, NaN, NaN]
17, [0.04269229248166084, -0.09021654725074768, 0.6742500066757202]
0, [-0.09657406061887741, -0.058521680533885956, 0.6522500514984131]
1, [0.05064581707119942, 0.10886535793542862, 0.6600000262260437]
2, [-0.11336661875247955, 0.14279460906982422, 0.7990000247955322]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.19619899988174438, 0.084691122174263, 0.5975000262260437]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.09321343153715134, -0.09632992744445801, 0.6582500338554382]
15, [-0.05962748825550079, -0.09875379502773285, 0.6510000228881836]
16, [NaN, NaN, NaN]
17, [0.04729170724749565, -0.0904599204659462, 0.6760000586509705]
0, [-0.09108510613441467, -0.05779029428958893, 0.6442500352859497]
1, [0.04602641612291336, 0.10831645876169205, 0.6567500233650208]
2, [-0.11279907077550888, 0.14207974076271057, 0.7950000166893005]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.19699977338314056, 0.08101877570152283, 0.6000000238418579]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.09248754382133484, -0.09919662773609161, 0.6530000567436218]
15, [-0.05651051551103592, -0.09961336106061935, 0.6567500233650208]
16, [NaN, NaN, NaN]
17, [0.04751907289028168, -0.09089482575654984, 0.6792500615119934]
0, [-0.08678730577230453, -0.05730842053890228, 0.6390000581741333]
1, [0.05051153153181076, 0.1085767075419426, 0.6582500338554382]
2, [-0.11304736882448196, 0.14239250123500824, 0.796750009059906]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.1973280906677246, 0.08115380257368088, 0.6010000109672546]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.0941871628165245, -0.10101953148841858, 0.6650000214576721]
15, [-0.05100866034626961, -0.09743795543909073, 0.6425000429153442]
16, [NaN, NaN, NaN]
17, [0.047554049640893936, -0.09096172451972961, 0.6797500252723694]
0, [-0.0777415782213211, -0.056902408599853516, 0.6347500085830688]
1, [0.05062104016542435, 0.11319994926452637, 0.659500002861023]
2, [-0.11261312663555145, 0.1462518870830536, 0.7935000658035278]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.19782060384750366, 0.08135635405778885, 0.6025000214576721]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.08864572644233704, -0.09895123541355133, 0.6515000462532043]
15, [-0.04382970184087753, -0.09889297932386398, 0.6522500514984131]
16, [NaN, NaN, NaN]
17, [0.05679794028401375, -0.09255380183458328, 0.6915000081062317]
0, [-0.07308810204267502, -0.06017288565635681, 0.625]
1, [0.04640680178999901, 0.11361590027809143, 0.6620000600814819]
2, [-0.11332272738218307, 0.1471734493970871, 0.7985000610351562]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.19392843544483185, 0.0854499563574791, 0.6030000448226929]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.08345193415880203, -0.09794380515813828, 0.6450000405311584]
15, [-0.0355071984231472, -0.10211776196956635, 0.6452500224113464]
16, [NaN, NaN, NaN]
17, [0.06243738904595375, -0.09413876384496689, 0.7032500505447388]
0, [-0.0692003071308136, -0.060401588678359985, 0.627500057220459]
1, [0.04656452685594559, 0.1140020489692688, 0.6642500162124634]
2, [-0.11326020210981369, 0.14266057312488556, 0.7982500195503235]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.19433043897151947, 0.08562708646059036, 0.6042500138282776]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.07889968156814575, -0.0976206436753273, 0.6430000066757202]
15, [-0.03552095592021942, -0.10215732455253601, 0.6455000042915344]
16, [NaN, NaN, NaN]
17, [0.06186029314994812, -0.09326865524053574, 0.6967500448226929]
0, [-0.06538798660039902, -0.06353713572025299, 0.624250054359436]
1, [0.04658205434679985, 0.11404496431350708, 0.6645000576972961]
2, [-0.10784486681222916, 0.14576442539691925, 0.7910000085830688]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.1944703459739685, 0.08163975924253464, 0.6047500371932983]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.07813512533903122, -0.1012481078505516, 0.6670000553131104]
15, [-0.03140106424689293, -0.10270139575004578, 0.6490000486373901]
16, [NaN, NaN, NaN]
17, [0.062359366565942764, -0.09790431708097458, 0.7022500038146973]
0, [-0.06119596213102341, -0.06762205809354782, 0.6237500309944153]
1, [0.04662211239337921, 0.10971834510564804, 0.6652500033378601]
2, [-0.10835614055395126, 0.14645548164844513, 0.7947500348091125]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.1943899542093277, 0.08160601556301117, 0.6045000553131104]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.07907227426767349, -0.10246247053146362, 0.675000011920929]
15, [-0.023143114522099495, -0.10537055134773254, 0.6390000581741333]
16, [NaN, NaN, NaN]
17, [0.06629838049411774, -0.09798527508974075, 0.702750027179718]
0, [-0.0566805936396122, -0.0671769306063652, 0.6197500228881836]
1, [0.050908878445625305, 0.11384361982345581, 0.6632500290870667]
2, [-0.10832992196083069, 0.14200866222381592, 0.7947500348091125]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.19455072283744812, 0.0816735103726387, 0.6050000190734863]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.07298637926578522, -0.10465449839830399, 0.6605000495910645]
15, [-0.019135601818561554, -0.10668282210826874, 0.6470000147819519]
16, [NaN, NaN, NaN]
17, [0.06648706644773483, -0.09826414287090302, 0.7047500610351562]
0, [-0.05317138880491257, -0.07117453217506409, 0.6187500357627869]
1, [0.050703369081020355, 0.10898907482624054, 0.6607500314712524]
2, [-0.10836399346590042, 0.14205333590507507, 0.7950000166893005]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.19495269656181335, 0.08184225857257843, 0.6062500476837158]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.06603696942329407, -0.11089225858449936, 0.671750009059906]
15, [-0.011236726306378841, -0.11001934856176376, 0.6455000042915344]
16, [NaN, NaN, NaN]
17, [0.071756511926651, -0.09908038377761841, 0.7105000615119934]
0, [-0.0492851585149765, -0.0749257355928421, 0.6215000152587891]
1, [0.050703369081020355, 0.10898907482624054, 0.6607500314712524]
2, [-0.10860253125429153, 0.14236602187156677, 0.796750009059906]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
